,Year,Predicted,Actual,Error,Country
6,1996,17964.23419271988,18161.1368519381,-196.90265921821992,New Zealand
7,1997,18385.308896195274,18206.09450404,179.21439215527425,New Zealand
8,1998,18148.671060533925,17942.871598479498,205.79946205442684,New Zealand
9,1999,17082.861968808094,17363.0586626424,-280.19669383430664,New Zealand
10,2000,16814.160785007727,16673.1715865832,140.98919842452597,New Zealand
11,2001,15889.807254170337,16145.3716875035,-255.56443333316383,New Zealand
12,2002,15364.09235156158,15162.2212896827,201.87106187887912,New Zealand
13,2003,14972.011565063905,14355.599718686599,616.4118463773066,New Zealand
14,2004,14971.850381822987,14232.2479437955,739.6024380274866,New Zealand
15,2005,14410.548512022018,14679.316488493301,-268.76797647128296,New Zealand
16,2006,14826.89742568905,14589.1420523123,237.75537337675087,New Zealand
17,2007,13405.424960955657,14545.9907413353,-1140.565780379642,New Zealand
18,2008,11461.788034993384,12893.923861758101,-1432.1358267647174,New Zealand
19,2009,10736.61823270184,9121.792956032801,1614.8252766690384,New Zealand
20,2010,10473.128402048635,8921.10763237052,1552.0207696781144,New Zealand
21,2011,10595.905956605166,8628.942413518342,1966.9635430868238,New Zealand
22,2012,10070.380676259527,8413.97319058313,1656.4074856763964,New Zealand
23,2013,9550.11713237912,8250.49185894635,1299.62527343277,New Zealand
24,2014,9506.632491967408,8430.425291596079,1076.2072003713292,New Zealand
25,2015,8931.383962658627,8558.245495977571,373.13846668105543,New Zealand
26,2016,7809.674071769128,8808.21443343644,-998.540361667312,New Zealand
27,2017,6876.783446157817,8476.745019415219,-1599.961573257402,New Zealand
28,2018,5847.211600231931,8657.643648631809,-2810.432048399878,New Zealand
0,1990,18659.55176372608,,,Russia
1,1991,14064.270428489312,15881.7433301115,-1817.4729016221881,Russia
2,1992,11594.580086056143,11191.152043023401,403.4280430327417,Russia
3,1993,10885.012690073025,11208.7794550405,-323.76676496747496,Russia
4,1994,10928.351750098998,11874.0412693327,-945.6895192337015,Russia
5,1995,12064.017353805131,11050.8170642143,1013.2002895908317,Russia
6,1996,12477.987039730404,11739.3099076174,738.6771321130036,Russia
7,1997,12452.421731308816,11225.927333286201,1226.4943980226144,Russia
8,1998,11034.7072747879,10897.2584589082,137.4488158796994,Russia
9,1999,9515.26518804302,9685.80038832687,-170.53520028384992,Russia
10,2000,8872.58347097144,9130.74783256525,-258.1643615938101,Russia
11,2001,9383.083530740972,9614.323931928158,-231.24040118718585,Russia
12,2002,9569.743310837046,9468.31985457564,101.42345626140559,Russia
13,2003,9439.205942402434,8730.48885621863,708.717086183804,Russia
14,2004,9517.88819282128,9430.40349033312,87.48470248816011,Russia
15,2005,9713.349102328066,10707.9229497676,-994.5738474395348,Russia
16,2006,10253.138662315527,10548.539730753,-295.40106843747344,Russia
17,2007,10297.430454891248,9397.83243753211,899.5980173591379,Russia
18,2008,9210.711948373806,9395.92004897152,-185.2081005977143,Russia
19,2009,8105.382037227013,8199.801812789301,-94.41977556228812,Russia
20,2010,8160.494438384747,7563.46610400381,597.0283343809369,Russia
21,2011,7300.958604597341,7792.69044692087,-491.73184232352924,Russia
22,2012,6665.065906732692,8138.51396199966,-1473.4480552669675,Russia
23,2013,5581.411654398631,7431.571186067829,-1850.1595316691983,Russia
24,2014,4760.0075965014985,7602.82814912792,-2842.820552626422,Russia
25,2015,3625.3367771616904,7322.67986085253,-3697.343083690839,Russia
26,2016,2191.22811256368,7450.6643820420995,-5259.4362694784195,Russia
27,2017,1525.2235729411186,7512.6018279091,-5987.378254967982,Russia
28,2018,1470.0046669476724,7852.58316027756,-6382.578493329887,Russia
0,1990,3498.18622586246,,,Spain
1,1991,3351.9352718308396,3326.81320982872,25.122062002119492,Spain
2,1992,3303.061121170051,3312.40457662425,-9.343455454198647,Spain
3,1993,3247.3997547611275,3258.7104825011493,-11.310727740021775,Spain
4,1994,3282.357822576522,3351.65184698819,-69.29402441166803,Spain
5,1995,3351.3718147290874,3300.5032352027893,50.86857952629816,Spain
6,1996,3321.7415550553774,3333.1242009905604,-11.382645935183064,Spain
7,1997,3280.727380663968,3258.79656024284,21.93082042112792,Spain
8,1998,3259.740319788959,3240.38659116902,19.35372861993892,Spain
9,1999,3226.960704231803,3173.374934844749,53.585769387053915,Spain
10,2000,3161.048459185229,3144.7902199533196,16.258239231909556,Spain
11,2001,3244.87686866287,3307.4914704345697,-62.614601771699654,Spain
12,2002,3252.1361737900343,3247.33628945909,4.799884330944224,Spain
13,2003,3171.7402798873864,3274.35900167159,-102.61872178420344,Spain
14,2004,3145.0110879607246,3077.7871478675797,67.22394009314485,Spain
15,2005,3018.455647154131,3004.8464895012603,13.609157652870636,Spain
16,2006,3086.368616412902,3116.8700393002,-30.50142288729785,Spain
17,2007,3049.7441619747015,3009.66495616133,40.07920581337157,Spain
18,2008,3089.1123879637053,3105.13661192123,-16.024223957524555,Spain
19,2009,2979.319955236272,2979.0615183738,0.258436862472081,Spain
20,2010,2757.48406020986,2868.5523427877697,-111.06828257790949,Spain
21,2011,2981.6438583621557,3012.8606929200405,-31.216834557884795,Spain
22,2012,3000.9789254971947,2941.7856656520808,59.19325984511397,Spain
23,2013,2998.514126007165,3001.27731057039,-2.763184563224968,Spain
24,2014,3235.736831600424,2901.26654139889,334.4702902015342,Spain
25,2015,3245.4951706947836,2881.23361274164,364.26155795314344,Spain
26,2016,3135.823402733905,2910.24232318132,225.58107955258492,Spain
27,2017,2990.072487074821,2888.9987752987104,101.07371177611049,Spain
28,2018,3090.11762238311,3082.52391368377,7.593708699339913,Spain
0,1990,5840.53774720133,,,Switzerland
1,1991,5700.89675020487,5740.25607034319,-39.35932013832007,Switzerland
2,1992,5620.599222143732,5618.1353879077515,2.4638342359803573,Switzerland
3,1993,5668.4840114862,5463.87651944725,204.6074920389501,Switzerland
4,1994,5652.422515239437,5674.21443209783,-21.791916858392142,Switzerland
5,1995,5592.4070621094925,5705.98656736734,-113.57950525784781,Switzerland
6,1996,5565.045551421798,5583.884835374671,-18.839283952872393,Switzerland
7,1997,5673.890115096367,5596.06150992964,77.82860516672645,Switzerland
8,1998,5592.6214404824705,5600.58824903133,-7.966808548859262,Switzerland
9,1999,5459.439062526697,5638.954451583671,-179.51538905697362,Switzerland
10,2000,5421.417220067837,5421.42024453902,-0.0030244711833802285,Switzerland
11,2001,5332.4987064932375,5332.71219520223,-0.21348870899237227,Switzerland
12,2002,5215.619253369425,5213.167378409929,2.451874959495399,Switzerland
13,2003,5098.087157609476,5094.19281273677,3.894344872705915,Switzerland
14,2004,5086.463225752933,5059.40905920827,27.05416654466262,Switzerland
15,2005,5124.943923251688,5068.01885509771,56.92506815397792,Switzerland
16,2006,4986.091794590405,4962.556308070261,23.535486520143422,Switzerland
17,2007,4909.457721242052,4906.28079752708,3.176923714971963,Switzerland
18,2008,4791.491417699205,4745.23540357708,46.256014122124725,Switzerland
19,2009,4758.710677048191,4825.63575038462,-66.9250733364288,Switzerland
20,2010,4732.886687009974,4654.48581391257,78.40087309740375,Switzerland
21,2011,4463.354901407776,4823.48977135496,-360.1348699471837,Switzerland
22,2012,4447.04982307696,4522.10809991355,-75.05827683659027,Switzerland
23,2013,4395.94479974861,4482.9970237831,-87.05222403448988,Switzerland
24,2014,4359.129874087077,4523.2057348327,-164.07586074562278,Switzerland
25,2015,4347.843573706616,4576.55395754878,-228.71038384216445,Switzerland
26,2016,4284.569927578441,4597.77218907536,-313.20226149691916,Switzerland
27,2017,4311.125524707526,4576.73690837872,-265.61138367119383,Switzerland
28,2018,4072.320480044622,4757.28267359164,-684.9621935470177,Switzerland
0,1990,3281.449594016948,,,Turkey
1,1991,3316.0722446497075,3326.81320982872,-10.740965179012619,Turkey
2,1992,3312.087228242408,3312.40457662425,-0.317348381841839,Turkey
3,1993,3309.9013572665717,3258.7104825011493,51.19087476542245,Turkey
4,1994,3312.3918595625273,3351.65184698819,-39.25998742566253,Turkey
5,1995,3331.3647178306533,3300.5032352027893,30.861482627864007,Turkey
6,1996,3339.1487726004266,3333.1242009905604,6.024571609866143,Turkey
7,1997,3256.630175290029,3258.79656024284,-2.1663849528108585,Turkey
8,1998,3229.6983115480784,3240.38659116902,-10.688279620941557,Turkey
9,1999,3229.783495676138,3173.374934844749,56.40856083138897,Turkey
10,2000,3181.922975092547,3144.7902199533196,37.132755139227356,Turkey
11,2001,3213.2542281687747,3307.4914704345697,-94.23724226579498,Turkey
12,2002,3164.740108815932,3247.33628945909,-82.59618064315782,Turkey
13,2003,3152.5191076313204,3274.35900167159,-121.83989404026943,Turkey
14,2004,3118.569580398582,3077.7871478675797,40.78243253100209,Turkey
15,2005,3114.803498121698,3004.8464895012603,109.95700862043759,Turkey
