,Year,Predicted,Actual,Error,Country
24,2014,-895.2146995409857,436.52222157528,-1331.7369211162659,Canada
25,2015,-1776.0541492555058,383.381986727892,-2159.436135983398,Canada
26,2016,-3186.3805470853695,429.96266300028,-3616.3432100856494,Canada
27,2017,-4786.793035420065,334.291811497092,-5121.084846917157,Canada
28,2018,-6228.887319897913,281.946652330368,-6510.833972228281,Canada
0,1990,346.50539436133477,,,Japan
1,1991,367.91463506246873,408.351179829816,-40.43654476734724,Japan
2,1992,394.979924138177,430.795943909064,-35.81601977088701,Japan
3,1993,442.60116149470196,432.632314619748,9.968846874953954,Japan
4,1994,497.9528892573071,444.286371733812,53.66651752349509,Japan
5,1995,619.5324935120661,487.52099762195996,132.01149589010618,Japan
6,1996,669.9067018068963,679.720156554048,-9.813454747151695,Japan
7,1997,673.8328106801891,761.7216787946761,-87.88886811448697,Japan
8,1998,673.0507225021756,813.388664135004,-140.33794163282835,Japan
9,1999,649.9454667922328,688.5571842627,-38.61171747046728,Japan
10,2000,666.1158933865881,463.54878939325204,202.5671039933361,Japan
11,2001,687.2610606240632,604.3131573306961,82.94790329336718,Japan
12,2002,724.590621073341,852.7158320528398,-128.12521097949877,Japan
13,2003,679.0226497762851,740.7210456422998,-61.69839586601472,Japan
14,2004,649.4381454324939,549.89326097136,99.54488446113396,Japan
15,2005,561.646498408034,584.545572063828,-22.89907365579404,Japan
16,2006,561.305777002286,549.999794192292,11.30598280999402,Japan
17,2007,509.8977234397571,570.291993357132,-60.39426991737491,Japan
18,2008,495.1364492500834,452.66407596102005,42.47237328906334,Japan
19,2009,487.4575352671927,495.921146481528,-8.463611214335288,Japan
20,2010,442.4392326263478,472.033087058928,-29.5938544325802,Japan
21,2011,415.9634418495916,393.787497507108,22.175944342483604,Japan
22,2012,332.20323840632045,441.363258338832,-109.16001993251155,Japan
23,2013,353.66988048059284,445.605538099188,-91.93565761859514,Japan
24,2014,322.89702561330705,421.883688884508,-98.98666327120094,Japan
25,2015,266.8870349690151,359.15752695132005,-92.27049198230497,Japan
26,2016,213.7871321433522,472.245132461616,-258.45800031826377,Japan
27,2017,121.81394367951725,399.415360712964,-277.60141703344675,Japan
28,2018,105.65927068703604,417.493663130976,-311.83439244394,Japan
0,1990,233.55280038418368,,,New Zealand
1,1991,149.70832284645803,206.7048,-56.996477153541974,New Zealand
2,1992,158.11422775743085,125.7192,32.39502775743085,New Zealand
3,1993,144.39845015186256,134.0412,10.357250151862559,New Zealand
4,1994,168.1679551222078,140.2428,27.925155122207798,New Zealand
5,1995,198.09676286423655,179.4588,18.637962864236556,New Zealand
6,1996,247.20180704783616,260.9688,-13.766992952163832,New Zealand
7,1997,270.41913261466607,271.0236,-0.6044673853339191,New Zealand
8,1998,291.65053032038895,299.0448,-7.394269679611057,New Zealand
9,1999,247.5645301301215,276.45,-28.885469869878477,New Zealand
10,2000,271.0421806510135,266.2128,4.82938065101348,New Zealand
11,2001,269.7725008266316,258.78,10.992500826631613,New Zealand
12,2002,282.8692979232942,274.8996,7.969697923294177,New Zealand
13,2003,222.56140874374296,224.9676,-2.4061912562570456,New Zealand
14,2004,191.64161155818192,197.4708,-5.829188441818076,New Zealand
15,2005,239.05347205945418,219.45,19.60347205945419,New Zealand
16,2006,181.50413688039544,203.718,-22.213863119604554,New Zealand
17,2007,180.56155338161898,169.7688,10.79275338161898,New Zealand
18,2008,160.369337460339,156.4992,3.8701374603390093,New Zealand
19,2009,150.34888292108099,156.4536,-6.104717078919009,New Zealand
20,2010,147.64432065159235,145.578,2.066320651592349,New Zealand
21,2011,96.99570268377738,153.786,-56.79029731622262,New Zealand
22,2012,114.56781510457404,125.172,-10.60418489542596,New Zealand
23,2013,96.61154815418604,172.5048,-75.89325184581395,New Zealand
24,2014,32.894103067787455,119.8596,-86.96549693221255,New Zealand
25,2015,-10.483474569613918,133.8588,-144.34227456961392,New Zealand
26,2016,-68.95987537460769,139.4904,-208.45027537460768,New Zealand
27,2017,-110.70877962063742,134.1552,-244.86397962063742,New Zealand
28,2018,-78.6949434525236,126.3804,-205.0753434525236,New Zealand
0,1990,-5.8853617309419946,,,Russia
1,1991,1.1416700288932056,0.47496048,0.6667095488932056,Russia
2,1992,2.134201105252737,0.52051488,1.6136862252527373,Russia
3,1993,-0.4476770668929859,0.48563088,-0.9333079468929859,Russia
4,1994,0.9679437848726771,0.52106208,0.4468817048726771,Russia
5,1995,-0.7897028932909578,0.73688688,-1.526589773290958,Russia
6,1996,0.8196101472518773,0.97619568,-0.1565855327481227,Russia
7,1997,0.5823489612940751,1.54056294,-0.958213978705925,Russia
8,1998,1.841798974020886,1.40871282,0.4330861540208859,Russia
9,1999,1.7704404084690761,1.51447518,0.2559652284690761,Russia
10,2000,4.551502208915357,1.70496477618,2.8465374327353574,Russia
11,2001,8.326975580708718,8.68393337196,-0.3569577912512827,Russia
12,2002,10.907102139178763,14.332878060648,-3.4257759214692367,Russia
13,2003,11.724554724968884,12.097042356048,-0.37248763107911564,Russia
14,2004,11.01863965940729,10.543166510412,0.4754731489952899,Russia
15,2005,12.58599426002541,14.097292303656001,-1.5112980436305907,Russia
16,2006,19.237012586802926,15.66777690756,3.569235679242926,Russia
17,2007,23.499915805905523,24.130526772036,-0.630610966130476,Russia
18,2008,30.10921212171403,29.879620599804,0.22959152191003085,Russia
19,2009,33.14013486213393,33.805473921336,-0.6653390592020756,Russia
20,2010,37.359250308999684,47.027732115792,-9.668481806792315,Russia
21,2011,34.40515755651137,60.68741173914,-26.282254182628634,Russia
22,2012,37.708563668941025,47.824370874168,-10.115807205226972,Russia
23,2013,39.50178150695229,50.748537624132005,-11.246756117179714,Russia
24,2014,39.346684280711536,57.206970559308004,-17.86028627859647,Russia
25,2015,42.2691286475133,51.775872739236,-9.506744091722702,Russia
26,2016,44.09246041647601,52.206838752828,-8.11437833635199,Russia
27,2017,48.23412178012379,49.799307742164004,-1.5651859620402107,Russia
28,2018,50.232769815104064,54.187482500951994,-3.9547126858479302,Russia
0,1990,106.58659170177293,,,Spain
1,1991,138.34980816895268,137.0062482642,1.3435599047526807,Spain
2,1992,139.1065526788343,139.20629718228,-0.09974450344569163,Spain
3,1993,126.90935471637408,141.39254221428,-14.48318749790593,Spain
4,1994,110.08940330627297,120.534841395048,-10.445438088775035,Spain
5,1995,105.75165062686006,106.886674181628,-1.1350235547679404,Spain
6,1996,113.26504131009551,93.234255643728,20.030785666367507,Spain
7,1997,113.87796996902466,90.072194688984,23.805775280040663,Spain
8,1998,125.65355975554007,124.66119654424801,0.9923632112920586,Spain
9,1999,132.68590403020107,152.81863908516002,-20.132735054958943,Spain
10,2000,157.12504758749515,140.11996981444798,17.005077773047162,Spain
11,2001,143.9946985388051,152.118689289984,-8.123990751178894,Spain
12,2002,137.69015288398305,151.02443946013202,-13.334286576148969,Spain
13,2003,161.98223001170368,160.855582679328,1.1266473323756827,Spain
14,2004,171.4277731533375,166.034793522396,5.392979630941511,Spain
15,2005,201.0835670595186,189.66012665464802,11.423440404870576,Spain
16,2006,189.75941376517835,207.317278291944,-17.557864526765655,Spain
17,2007,191.2411676458164,196.93514854542,-5.693980899603588,Spain
18,2008,188.31495225436106,178.26728232589195,10.047669928469105,Spain
19,2009,238.88570484232469,239.047752520848,-0.16204767852332225,Spain
20,2010,325.9651177824935,182.874047076204,143.0910707062895,Spain
21,2011,239.78407894746556,151.309692216828,88.47438673063755,Spain
22,2012,196.0708460497708,163.935409833708,32.1354362160628,Spain
23,2013,189.99167933033618,218.24108205695998,-28.2494027266238,Spain
24,2014,124.79689602732674,262.604552815056,-137.8076567877293,Spain
25,2015,123.25286995408283,266.000834405976,-142.74796445189315,Spain
26,2016,142.72582977503725,261.178878173088,-118.45304839805073,Spain
27,2017,176.1394168345214,212.76781416081602,-36.62839732629462,Spain
28,2018,141.51963796311975,202.85404488709202,-61.33440692397227,Spain
0,1990,112.63653474108412,,,Switzerland
1,1991,107.65576829748738,101.72894879133601,5.926819506151375,Switzerland
2,1992,86.71495664791155,102.69173966733601,-15.97678301942446,Switzerland
3,1993,108.01868005670872,102.57597942525601,5.442700631452709,Switzerland
4,1994,119.5783051550111,99.347135145324,20.23117000968709,Switzerland
5,1995,115.24435532112648,106.374408893616,8.86994642751047,Switzerland
6,1996,124.87461932735619,135.1858964466,-10.311277119243812,Switzerland
7,1997,117.60938906724107,116.87531356684799,0.7340755003930752,Switzerland
8,1998,130.13982697613153,159.594680375364,-29.454853399232462,Switzerland
9,1999,120.16935289515266,111.21850846643999,8.95084442871267,Switzerland
10,2000,115.58326138395421,121.21357771956,-5.630316335605798,Switzerland
11,2001,113.32609901984915,118.777638774384,-5.451539754534849,Switzerland
12,2002,116.53529281366241,122.77519704985201,-6.239904236189602,Switzerland
13,2003,124.1490777370716,119.59982426358,4.549253473491589,Switzerland
