,Year,Predicted,Actual,Error,Country
19,2009,33505400.93470204,33628895,-123494.06529796124,Canada
20,2010,33809747.474479675,34004889,-195141.5255203247,Canada
21,2011,34114094.01425719,34339328,-225233.9857428074,Canada
22,2012,34418440.55403483,34714222,-295781.44596517086,Canada
23,2013,34722787.09381235,35082954,-360166.90618765354,Canada
24,2014,35027133.63358998,35437435,-410301.366410017,Canada
25,2015,35331480.17336762,35702908,-371427.8266323805,Canada
26,2016,35635826.71314514,36109487,-473660.28685486317,Canada
27,2017,35940173.25292277,36543321,-603147.7470772266,Canada
28,2018,36244519.79270029,37057765,-813245.2072997093,Canada
0,1990,124043428.5714286,123537000,506428.571428597,Japan
1,1991,124292130.82706767,123921000,371130.8270676732,Japan
2,1992,124540833.08270681,124229000,311833.08270680904,Japan
3,1993,124789535.33834589,124536000,253535.33834588528,Japan
4,1994,125038237.59398496,124961000,77237.59398496151,Japan
5,1995,125286939.8496241,125439000,-152060.15037590265,Japan
6,1996,125535642.10526317,125757000,-221357.89473682642,Japan
7,1997,125784344.36090231,126057000,-272655.6390976906,Japan
8,1998,126033046.61654139,126400000,-366953.38345861435,Japan
9,1999,126281748.87218046,126631000,-349251.1278195381,Japan
10,2000,126530451.1278196,126843000,-312548.8721804023,Japan
11,2001,126779153.38345867,127149000,-369846.61654132605,Japan
12,2002,127027855.63909775,127445000,-417144.3609022498,Japan
13,2003,127276557.89473689,127718000,-441442.105263114,Japan
14,2004,127525260.15037596,127761000,-235739.84962403774,Japan
15,2005,127773962.40601504,127773000,962.4060150384903,Japan
16,2006,128022664.66165417,127854000,168664.66165417433,Japan
17,2007,128271366.91729325,128001000,270366.91729325056,Japan
18,2008,128520069.17293239,128063000,457069.1729323864,Japan
19,2009,128768771.42857146,128047000,721771.4285714626,Japan
20,2010,129017473.68421054,128070000,947473.6842105389,Japan
21,2011,129266175.93984967,127833000,1433175.9398496747,Japan
22,2012,129514878.19548875,127629000,1885878.195488751,Japan
23,2013,129763580.45112783,127445000,2318580.451127827,Japan
24,2014,130012282.70676696,127276000,2736282.706766963,Japan
25,2015,130260984.96240604,127141000,3119984.9624060392,Japan
26,2016,130509687.21804512,126994511,3515176.2180451155,Japan
27,2017,130758389.47368425,126785797,3972592.4736842513,Japan
28,2018,131007091.72932333,126529100,4477991.729323328,Japan
0,1990,3419391.428571433,3329800,89591.42857143283,New Zealand
1,1991,3466253.9097744375,3495100,-28846.090225562453,New Zealand
2,1992,3513116.3909774423,3531700,-18583.609022557735,New Zealand
