,Year,Predicted,Actual,Error,Country
24,2014,459545.7107894369,367568.71230315,91976.9984862869,Japan
25,2015,469677.74270415225,347860.803522809,121816.93918134324,Japan
26,2016,471968.5862159476,360088.17781390005,111880.40840204753,Japan
27,2017,478007.3313820612,356556.196027575,121451.13535448618,Japan
28,2018,475904.30494480534,351473.93294538,124430.37199942535,Japan
0,1990,159974.45740684774,,,New Zealand
1,1991,165848.15947876355,162385.109422551,3463.0500562125526,New Zealand
2,1992,167216.77327096634,170796.382524118,-3579.6092531516624,New Zealand
3,1993,169202.48434445108,170630.241424131,-1427.7570796799264,New Zealand
4,1994,170450.2931130272,170817.552396797,-367.25928376978845,New Zealand
5,1995,172790.23542535419,171401.365047735,1388.8703776191978,New Zealand
6,1996,176428.56241864624,172966.168650756,3462.3937678902294,New Zealand
7,1997,177344.92582279092,182148.288127849,-4803.362305058079,New Zealand
8,1998,176571.06485361521,175019.626330112,1551.4385235032241,New Zealand
9,1999,174238.17678613224,176136.86613746898,-1898.6893513367395,New Zealand
10,2000,174189.94499836248,170727.34959651,3462.595401852479,New Zealand
11,2001,173703.08117033367,171887.440050803,1815.6411195306573,New Zealand
12,2002,175225.78904211696,176798.51307636802,-1572.7240342510631,New Zealand
13,2003,175008.2323690234,176113.046481303,-1104.8141122795932,New Zealand
14,2004,177597.95700449412,179564.99809727602,-1967.041092781903,New Zealand
15,2005,178063.8601969601,181381.76585373,-3317.905656769901,New Zealand
16,2006,178896.2176492338,177459.00511061898,1437.212538614811,New Zealand
17,2007,177573.96991428628,172686.523341534,4887.446572752291,New Zealand
18,2008,173177.41448795935,172587.180339288,590.2341486713558,New Zealand
19,2009,173467.8566329496,175481.51102241199,-2013.6543894623755,New Zealand
20,2010,176195.63080617678,170167.74143354,6027.889372636768,New Zealand
21,2011,175101.3622626406,182117.938134422,-7016.575871781388,New Zealand
22,2012,175490.64489866505,169065.734256756,6424.910641909053,New Zealand
23,2013,176243.61350914725,165827.027252846,10416.586256301263,New Zealand
24,2014,177996.655318717,165717.877810591,12278.777508126019,New Zealand
25,2015,182346.39314413207,158768.01234911,23578.380795022065,New Zealand
26,2016,185158.41953056696,166366.655865468,18791.76366509896,New Zealand
27,2017,188374.8293982704,166282.089728861,22092.739669409406,New Zealand
28,2018,188847.99456582437,164444.773768704,24403.22079712036,New Zealand
0,1990,190847.9736039749,,,Russia
1,1991,153784.9038846516,169285.872691812,-15500.968807160389,Russia
2,1992,139965.58410054166,139370.253165321,595.3309352206707,Russia
3,1993,126955.04443159676,131072.276566846,-4117.232135249244,Russia
4,1994,126221.88452072116,122832.30509118599,3389.579429535166,Russia
5,1995,129465.0677384286,121961.461882256,7503.605856172595,Russia
6,1996,132243.6098923618,127032.855585614,5210.754306747796,Russia
7,1997,137575.34218199085,130095.925323886,7479.416858104858,Russia
8,1998,121970.23364097753,121074.67434503,895.5592959475325,Russia
9,1999,106575.07403667143,107561.544307475,-986.470270803562,Russia
10,2000,88017.50521115225,90778.1784473023,-2760.673236150047,Russia
11,2001,93340.33816340519,95455.76054598721,-2115.4223825820227,Russia
12,2002,100215.73879825888,100357.071280565,-141.33248230611207,Russia
13,2003,104855.50864693947,101735.332431986,3120.176214953477,Russia
14,2004,99678.31770657515,105295.172237085,-5616.854530509852,Russia
15,2005,99918.3328939412,104269.756728272,-4351.423834330795,Russia
16,2006,108385.67721650406,102694.473334226,5691.20388227806,Russia
17,2007,110432.46268564113,105082.79303183197,5349.669653809164,Russia
18,2008,106431.41986261081,108440.49325638,-2009.073393769184,Russia
19,2009,103898.73413700477,105534.57949688699,-1635.8453598822234,Russia
20,2010,109247.5966929617,86024.13623389139,23223.46045907031,Russia
21,2011,93152.91555211687,84289.7215619474,8863.193990169471,Russia
22,2012,95431.11690653057,89518.24584286641,5912.871063664163,Russia
23,2013,92669.561871904,86255.6930244359,6413.868847468111,Russia
24,2014,86205.0715040706,76875.89360764269,9329.177896427907,Russia
25,2015,80434.32875668845,77432.4172893916,3001.911467296857,Russia
26,2016,69913.40937050828,77725.6298778275,-7812.220507319216,Russia
27,2017,69545.08012272429,75812.8017938512,-6267.721671126914,Russia
28,2018,72141.85493076639,78077.4897274096,-5935.634796643208,Russia
0,1990,43608.67478756914,,,Spain
1,1991,44916.22984873901,44154.420948084815,761.8089006541923,Spain
2,1992,45010.247640632086,46133.821039985,-1123.5733993529138,Spain
3,1993,45064.462614757125,46009.7044340782,-945.241819321076,Spain
4,1994,44282.174246743634,43601.0231205789,681.151126164732,Spain
5,1995,43357.5372979121,42675.8941129142,681.6431849979053,Spain
6,1996,43498.36533574221,43412.8303104671,85.53502527510864,Spain
7,1997,43720.34944317077,44098.8196665512,-378.47022338042734,Spain
8,1998,43670.973658822986,43037.266660975496,633.7069978474901,Spain
9,1999,44004.88677207854,44614.821367455996,-609.9345953774537,Spain
