,Year,Predicted,Actual,Error,Country
14,2004,5252.558888763517,5222.94714744178,29.6117413217371,Turkey
15,2005,5165.18743027611,5188.629326409578,-23.441896133468617,Turkey
16,2006,5208.118226414999,5203.77434026851,4.34388614648924,Turkey
17,2007,5199.092194335364,5220.2570251347,-21.164830799335505,Turkey
18,2008,5217.661733738132,5202.424944157739,15.236789580392724,Turkey
19,2009,5272.743667196783,5272.98940440767,-0.24573721088745515,Turkey
20,2010,5181.304467176131,5180.89206516704,0.41240200909123814,Turkey
21,2011,5217.953930568334,5154.2736822446,63.680248323733394,Turkey
22,2012,4984.76387099961,5099.1448071821205,-114.3809361825106,Turkey
23,2013,4877.142342277845,5070.7747738083,-193.6324315304546,Turkey
24,2014,4962.002392521211,5006.729969128321,-44.72757660710977,Turkey
25,2015,4896.955081685217,5003.62120444444,-106.66612275922307,Turkey
26,2016,4774.001207803043,4974.08886834194,-200.08766053889667,Turkey
27,2017,4654.737970102101,4930.18894661626,-275.45097651415927,Turkey
28,2018,4672.604683711811,4868.48522402396,-195.8805403121487,Turkey
0,1990,132113.88398698723,,,United States
1,1991,133030.96439534918,133060.431949585,-29.467554235830903,United States
2,1992,135127.80155217607,133811.58067568,1316.2208764960815,United States
3,1993,133468.06471167188,133490.723173375,-22.65846170313307,United States
4,1994,129086.36097545188,131903.729516722,-2817.368541270116,United States
5,1995,127381.16839371013,125007.189305041,2373.9790886691335,United States
6,1996,127448.34550218572,126522.06805428199,926.2774479037325,United States
7,1997,124493.20677580679,125643.929198499,-1150.7224226922117,United States
8,1998,122904.6508415507,123338.033729605,-433.38288805430057,United States
9,1999,119152.04429737783,119813.221717045,-661.1774196671759,United States
10,2000,114916.51749019785,114254.70313326099,661.8143569368549,United States
11,2001,108282.7835850296,109036.793785355,-754.0102003253996,United States
12,2002,104507.61056569128,104138.780254979,368.8303107122774,United States
13,2003,102594.77696365752,101688.39092828901,906.3860353685159,United States
14,2004,96170.99906486558,96504.2566670525,-333.2576021869172,United States
15,2005,89912.53827566147,92148.3588545896,-2235.8205789281346,United States
16,2006,87162.43772044158,87366.2640683773,-203.82634793572652,United States
17,2007,84116.26338220574,82927.1384266945,1189.1249555112445,United States
18,2008,80024.35694303244,79042.7359468214,981.6209962110443,United States
19,2009,73369.83300697283,73452.3950608194,-82.56205384657369,United States
20,2010,70077.96317519661,68914.8234032465,1163.139771950111,United States
21,2011,63821.224848234095,64242.4234937216,-421.19864548750775,United States
22,2012,64821.44430535121,61559.1665119501,3262.27779340111,United States
23,2013,61420.43774415934,60043.7205560703,1376.7171880890382,United States
24,2014,56679.90588667459,56051.110303979294,628.7955826952966,United States
25,2015,53470.486645382975,53930.73149690111,-460.2448515181386,United States
26,2016,49376.44445113678,53123.898942019805,-3747.4544908830285,United States
27,2017,46320.51054207768,51541.238295586394,-5220.727753508712,United States
28,2018,46682.93861970818,51965.790661932595,-5282.852042224418,United States
