,Year,Predicted,Actual,Error,Country
2,1992,593533.4579988532,594872.982138977,-1339.52414012386,Canada
5,1995,629007.6597243063,612470.50945834,16537.15026596631,Canada
6,1996,651841.2765850215,653057.975462026,-1216.6988770044409,Canada
7,1997,661833.7980054561,674575.215560094,-12741.417554637883,Canada
8,1998,690136.2682147808,686114.626194648,4021.6420201328583,Canada
9,1999,692217.3829137981,693059.075657216,-841.6927434179233,Canada
10,2000,719905.6434754678,707363.7657150921,12541.877760375733,Canada
11,2001,706642.3947897451,730681.594255912,-24039.1994661669,Canada
12,2002,720728.7274508742,719697.167052545,1031.5603983291658,Canada
13,2003,726424.7827746565,723948.358790076,2476.423984580557,Canada
14,2004,740767.3579712748,740245.804983118,521.5529881567927,Canada
15,2005,737402.5170061258,741584.480166666,-4181.96316054021,Canada
16,2006,734769.0142759443,729747.165694537,5021.848581407336,Canada
17,2007,732565.2898582686,720516.1091445909,12049.180713677662,Canada
18,2008,732499.532218317,742313.66328116,-9814.131062843022,Canada
19,2009,724415.1215792876,722567.96992693,1847.151652357541,Canada
20,2010,738423.236930056,680493.571152915,57929.665777140995,Canada
21,2011,777847.0514062154,690530.616855534,87316.43455068138,Canada
22,2012,827921.5805573864,702412.979308979,125508.60124840739,Canada
23,2013,878001.2053286382,710108.2965149891,167892.9088136491,Canada
24,2014,862468.166437164,720877.453851271,141590.712585893,Canada
25,2015,877987.4319957606,721353.744563692,156633.68743206863,Canada
26,2016,896343.4400319876,720380.1791123609,175963.2609196267,Canada
27,2017,931229.2056622924,706196.414317703,225032.79134458944,Canada
28,2018,989636.3601324926,713838.2065714679,275798.1535610247,Canada
0,1990,507383.1136546801,,,Japan
1,1991,512918.3581822196,516051.74218015705,-3133.3839979374316,Japan
2,1992,517683.2920457711,517107.000794587,576.2912511840696,Japan
3,1993,515853.83271767496,516117.30634123797,-263.47362356301164,Japan
4,1994,514544.6928322272,509104.902296359,5439.790535868204,Japan
5,1995,514399.3384767431,503368.55404031294,11030.784436430142,Japan
6,1996,515324.432940492,529435.478041526,-14111.045101034048,Japan
7,1997,524190.6832532063,523538.2289335,652.4543197063031,Japan
8,1998,534797.3958698238,531260.38183668,3537.014033143758,Japan
9,1999,538691.3803606227,543481.189890139,-4789.80952951638,Japan
10,2000,544467.6264493755,548740.283140669,-4272.656691293465,Japan
11,2001,554056.8165385473,552474.434041998,1582.3824965492822,Japan
12,2002,557545.3777106185,554029.530061746,3515.847648872528,Japan
13,2003,565562.6934654516,560213.531459924,5349.1620055276435,Japan
14,2004,579244.9456585948,579418.015111733,-173.0694531381596,Japan
15,2005,583993.1728798216,585375.660166617,-1382.4872867953964,Japan
16,2006,578215.4140027394,586529.470426221,-8314.05642348167,Japan
17,2007,577437.2349277078,576602.666618532,834.5683091757819,Japan
18,2008,575198.3353244214,569689.769800337,5508.565524084377,Japan
19,2009,555514.9263262209,557101.804779563,-1586.8784533421276,Japan
20,2010,560580.7169201733,502603.754907006,57976.96201316727,Japan
21,2011,558878.0435628116,513756.37885527295,45121.66470753861,Japan
22,2012,557198.2697316492,501288.045039892,55910.224691757176,Japan
23,2013,541071.6998806042,482361.633053964,58710.06682664016,Japan
24,2014,535069.178791523,447072.723427054,87996.45536446897,Japan
25,2015,545789.1807064739,426491.711008972,119297.46969750186,Japan
26,2016,547820.247276597,439431.75114522397,108388.49613137299,Japan
27,2017,553929.8898229914,436088.44924633706,117841.4405766544,Japan
28,2018,551201.8591711241,431324.46349526703,119877.39567585703,Japan
0,1990,229858.4364813075,,,New Zealand
1,1991,223554.90338190235,220740.86736172801,2814.0360201743315,New Zealand
2,1992,225608.86802190793,228385.55932136695,-2776.691299459024,New Zealand
3,1993,227194.22999829266,229110.630786334,-1916.4007880413265,New Zealand
4,1994,230228.32751633192,229867.596791444,360.7307248879224,New Zealand
5,1995,232687.62609281877,230750.532976026,1937.0931167927629,New Zealand
6,1996,233985.88082166747,230937.80412037802,3048.0767012894503,New Zealand
7,1997,236707.71726681865,241763.553529205,-5055.83626238635,New Zealand
8,1998,235809.1239247566,233603.08207237,2206.04185238661,New Zealand
9,1999,228932.385629916,234161.154554444,-5228.768924527976,New Zealand
10,2000,226204.91064335592,220828.43212456696,5376.478518788965,New Zealand
11,2001,221682.4955531654,219239.07013345105,2443.42541971436,New Zealand
12,2002,218104.63740063182,219714.044841575,-1609.4074409431778,New Zealand
13,2003,215770.01097694237,217608.55462014198,-1838.5436431996059,New Zealand
14,2004,217333.81734516675,218291.2735995,-957.4562543332577,New Zealand
15,2005,216515.75517951508,219893.839719738,-3378.084540222917,New Zealand
16,2006,216211.04619572705,214226.59365834,1984.4525373870565,New Zealand
17,2007,213016.42406040605,209176.557562045,3839.8664983610506,New Zealand
18,2008,206770.61214671808,207676.785782472,-906.1736357539194,New Zealand
19,2009,206708.95788088584,207040.278321458,-331.3204405721626,New Zealand
20,2010,205266.1853213615,201382.077945278,3884.107376083499,New Zealand
21,2011,205491.01748828663,213281.339605326,-7790.322117039381,New Zealand
22,2012,207646.16393192558,199175.460974573,8470.702957352565,New Zealand
23,2013,205029.57408472744,195272.034861553,9757.539223174448,New Zealand
24,2014,206681.18991153603,194878.14270308,11803.047208456032,New Zealand
25,2015,206484.60730965104,187184.613030073,19299.994279578037,New Zealand
26,2016,205558.07397143787,195422.373555567,10135.700415870873,New Zealand
27,2017,205602.09326535798,194991.60571245695,10610.487552901031,New Zealand
28,2018,205373.7839206574,192876.468917916,12497.315002741409,New Zealand
0,1990,271566.68929364247,,,Russia
1,1991,223798.47887264687,247994.300007144,-24195.82113449712,Russia
2,1992,202393.49963558122,204473.459437437,-2079.959801855788,Russia
3,1993,186988.21647965483,191274.10718749,-4285.890707835177,Russia
4,1994,186541.7639919322,182090.01430682,4451.749685112212,Russia
5,1995,192435.97847020213,180133.162537748,12302.815932454134,Russia
6,1996,195726.15821992088,187227.781103331,8498.377116589865,Russia
