row_id,Country_Code,Country_Name,Date,Year ,Methane (CH4),Carbon dioxide (CO2),Greenhouse Gas (GHGs),Hydrofluorocarbons (HFCs),Nitrous oxide (N2O),Perfluorocarbons (FFCs),Sulfar hexafluoride (SF6),Population
40,2,Canada,12/31/2001,2001,110154,564946,719697,3159.3,34832.9,4047.52,2557.1,31020900
41,2,Canada,12/31/2002,2002,108325,570845,723948,3607.07,34692.8,3462.96,3015.81,31360100
42,2,Canada,12/31/2003,2003,106786,587178,740246,3979.86,36160,3489.9,2651.43,31644000
43,2,Canada,12/31/2004,2004,107091,585703,741584,4584.77,38343.7,3521.88,2339.9,31940700
44,2,Canada,12/31/2005,2005,105737,576434,729747,5107.03,37212.3,3838.45,1417.36,32243800
45,2,Canada,12/31/2006,2006,104731,570950,720516,5391.08,34932,2985.13,1526.74,32571200
46,2,Canada,12/31/2007,2007,103093,594221,742314,6077.57,35662.6,2533.63,726.193,32889000
47,2,Canada,12/31/2008,2008,100191,575587,722568,6135.67,37409.2,2600.88,644.333,33247100
48,2,Canada,12/31/2009,2009,93922,542550,680494,6909.97,34228.2,2509.78,373.87,33628900
49,2,Canada,12/31/2010,2010,91559.4,555550,690531,7729.05,33391.6,1858.5,442.094,34004900
50,2,Canada,12/31/2011,2011,91386.6,566741,702413,8592.45,33610.4,1686.65,395.694,34339300
51,2,Canada,12/31/2012,2012,94060.5,569737,710108,9083.74,34988.4,1798.5,440.042,34714200
52,2,Canada,12/31/2013,2013,95502.2,576327,720877,10075.7,36918.9,1616.99,436.522,35083000
53,2,Canada,12/31/2014,2014,97277.6,575942,721354,10951,35711.5,1088.02,383.382,35437400
54,2,Canada,12/31/2015,2015,95542.4,575907,720380,11042.4,36490.3,968.003,429.963,35702900
55,2,Canada,12/31/2016,2016,92507.2,564032,706196,11317.8,37239.8,764.677,334.292,36109500
56,2,Canada,12/31/2017,2017,91893,572834,713838,11528.1,36556.5,744.096,281.947,36543300
57,2,Canada,12/31/2018,2018,91424.1,586505,729349,12545.4,37944.5,621.033,309.396,37057800
58,3,Great Britain,12/31/1990,1990,182573,705830,942072,0,53434,235.82,0.0076318,57247600
59,3,Great Britain,12/31/1991,1991,174694,632537,855689,0,48270.2,188.199,0.0190795,57424900
60,3,Great Britain,12/31/1992,1992,166761,589060,800683,0,44718.9,142.351,0.0305272,57580400
