row_id,Country_Code,Country_Name,Date,Year ,Methane (CH4),Carbon dioxide (CO2),Greenhouse Gas (GHGs),Hydrofluorocarbons (HFCs),Nitrous oxide (N2O),Perfluorocarbons (FFCs),Sulfar hexafluoride (SF6),Population
257,8,Turkey,12/31/2015,2015,4974.09,38733.2,48412.5,1507.52,2910.24,25.5483,261.179,78529400
258,8,Turkey,12/31/2016,2016,4930.19,39192.6,48725.3,1480.46,2889,19.5229,212.768,79821700
259,8,Turkey,12/31/2017,2017,4868.49,38182.3,47873.2,1504.25,3082.52,31.9997,202.854,81101900
260,8,Turkey,12/31/2018,2018,4839.99,36895.5,46332.5,1524.05,2879.65,35.6393,157.199,82319700
261,10,United States,12/31/1990,1990,133060,601187,797812,14391.4,46210.7,1651.35,1310.55,249623000
262,10,United States,12/31/1991,1991,133812,609266,807236,14991.1,46429.8,1384.97,1352.25,252981000
263,10,United States,12/31/1992,1992,133491,593746,786436,15597.6,41516.6,690.179,1394.2,256514000
264,10,United States,12/31/1993,1993,131904,579507,767022,16505.7,37282.1,602.557,1221.07,259919000
265,10,United States,12/31/1994,1994,125007,575775,758171,17593.5,37919.9,611.222,1263.87,263126000
266,10,United States,12/31/1995,1995,126522,567508,751691,19096.3,36660.3,596.762,1307.09,266278000
267,10,United States,12/31/1996,1996,125644,589138,773630,20249.7,36650.6,596.183,1350.66,269394000
268,10,United States,12/31/1997,1997,123338,563242,748416,23105.1,36903.9,502.938,1323.38,272657000
269,10,United States,12/31/1998,1998,119813,568512,747130,20075.2,36864.3,493.732,1369.72,275854000
270,10,United States,12/31/1999,1999,114255,561651,716726,11466.7,27341.8,473.959,1536.25,279040000
271,10,United States,12/31/2000,2000,109037,568220,716280,9885.02,26685.9,596.789,1853.49,282162000
272,10,United States,12/31/2001,2001,104139,576927,719097,10894.6,25163.4,485.586,1486.79,284969000
273,10,United States,12/31/2002,2002,101688,561048,699596,11392.6,23534.4,408.228,1523.88,287625000
274,10,United States,12/31/2003,2003,96504.3,572532,706682,12830.5,23110.4,356.61,1347.3,290108000
275,10,United States,12/31/2004,2004,92148.4,573994,703280,11910.1,23652.5,433.853,1140.43,292805000
276,10,United States,12/31/2005,2005,87366.3,570724,695431,13132.2,22746.4,385.149,1076.03,295517000
277,10,United States,12/31/2006,2006,82927.1,568390,688259,14046.4,21607.7,387.669,899.884,298380000
278,10,United States,12/31/2007,2007,79042.7,560206,676546,14495.9,21659.1,287.838,854.941,301231000
279,10,United States,12/31/2008,2008,73452.4,545682,656112,14994.7,21018.2,266.245,698.166,304094000
280,10,United States,12/31/2009,2009,68914.8,495120,600032,15626.3,19565.4,197.333,608.026,306772000
281,10,United States,12/31/2010,2010,64242.4,512865,614493,16486.9,19905.2,287.708,705.853,309322000
282,10,United States,12/31/2011,2011,61559.2,470608,567260,14931.5,19118.3,416.893,625.192,311557000
283,10,United States,12/31/2012,2012,60043.7,488504,583866,15474.2,18983.3,254.981,605.697,313831000
284,10,United States,12/31/2013,2013,56051.1,478609,570219,15803.3,18914.2,318.714,522.051,315994000
285,10,United States,12/31/2014,2014,53930.7,439763,529981,16001.8,19506.5,278.315,500.292,318301000
286,10,United States,12/31/2015,2015,53123.9,423200,512121,15987.2,19012.3,327.229,470.69,320635000
287,10,United States,12/31/2016,2016,51541.2,399824,486372,15216.5,18940.1,353.941,495.229,322941000
288,10,United States,12/31/2017,2017,51965.8,388803,475260,14180.9,19306.4,493.196,509.584,324986000
289,10,United States,12/31/2018,2018,51936.3,380850,465932,13132.7,19209.7,256.839,545.887,326687000
